ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
578,641.532,1566.21,17.522,0.0013,1.504,1.347,0.033,0.049,0.85,1
574,1541.17,1274.38,17.5455,0.0012,1.597,1.297,0.028,0.045,0.85,1
230,1073.49,986.429,16.1511,0.0009,1.734,1.444,0.014,0.024,0.84,1
238,805.132,969.158,16.1951,0.0007,1.288,1.055,0.012,0.016,0.84,1
290,1323.95,1778.91,16.4979,0.0008,1.33,1.177,0.013,0.018,0.84,1
293,1398.54,1420.39,16.5093,0.0009,1.37,1.121,0.013,0.017,0.84,1
299,1233.33,1189.73,16.5494,0.0007,1.322,1.104,0.013,0.017,0.84,1
318,1715.83,1197.69,16.6327,0.0008,1.364,1.074,0.015,0.018,0.84,1
353,1246.99,1114.27,16.7495,0.0009,1.385,1.103,0.016,0.02,0.84,1
340,1238.46,1964.99,16.7509,0.0025,1.947,1.612,0.019,0.043,0.84,1
365,1735.34,1505.36,16.7931,0.0009,1.43,1.121,0.015,0.024,0.84,1
368,846.679,1151.52,16.8404,0.0008,1.264,1.079,0.016,0.02,0.84,1
374,424.287,1099.72,16.8531,0.001,1.313,1.072,0.018,0.023,0.84,1
383,1547.76,1457.96,16.9114,0.0012,1.484,1.307,0.017,0.028,0.84,1
395,1609.45,1326.53,16.9257,0.0008,1.209,0.999,0.019,0.02,0.84,1
394,1296.95,1279.28,16.9549,0.0009,1.425,1.152,0.018,0.026,0.84,1
414,1124.99,1356.05,17.0436,0.0012,1.321,1.082,0.019,0.03,0.84,1
491,663.39,1127.36,17.2755,0.0012,1.485,1.296,0.023,0.036,0.84,1
510,724.934,1816.28,17.3655,0.0015,1.557,1.286,0.025,0.038,0.84,1
529,1586.36,1595.99,17.3992,0.001,1.405,1.198,0.024,0.037,0.84,1
558,1339.39,1489.46,17.5053,0.0012,1.588,1.327,0.026,0.051,0.84,1
629,688.395,769.48,17.6446,0.0014,1.602,1.353,0.039,0.064,0.84,1
630,1120.74,1071.15,17.7245,0.0013,1.756,1.598,0.035,0.07,0.84,1
673,984.502,1642.35,17.7783,0.0015,1.382,1.282,0.036,0.058,0.84,1
734,1603.55,1734.57,17.9564,0.0017,1.378,1.216,0.04,0.064,0.84,1
264,1149.51,1593.53,16.3397,0.0009,1.292,1.06,0.012,0.013,0.838,1
275,1690.24,1499.27,16.3944,0.0011,1.578,1.308,0.014,0.019,0.83,1
286,763.732,876.786,16.4709,0.0018,1.365,1.137,0.014,0.019,0.83,1
294,1254.62,1214.14,16.5303,0.0014,1.329,1.109,0.013,0.017,0.83,1
332,668.122,911.747,16.643,0.0008,1.518,1.277,0.016,0.025,0.83,1
342,1493.85,1205.61,16.715,0.0008,1.369,1.139,0.015,0.021,0.83,1
385,1733.61,1285.11,16.9215,0.0008,1.538,1.301,0.018,0.028,0.83,1
386,1350.86,898.853,16.9399,0.0012,1.485,1.241,0.022,0.03,0.83,1
416,1007.55,1376.59,17.0062,0.0012,1.263,1.082,0.018,0.024,0.83,1
