ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
841,292.277,766.473,18.077,0.024,1.149,0.038,99.0,99.0,0.731,0.026,1.326,0.032,154.44094620099415,-58.748485953200266
842,831.459,1254.39,18.085,0.018,1.022,0.034,99.0,99.0,0.559,0.021,1.156,0.028,154.35451521539318,-58.70869730699884
843,1348.4,1814.06,18.086,0.021,1.009,0.039,99.0,99.0,0.629,0.023,1.181,0.028,154.27149623583773,-58.66289617187749
844,1580.36,1476.26,18.088,0.021,0.916,0.033,99.0,99.0,0.682,0.025,1.24,0.031,154.23516769948654,-58.69097758080422
845,922.294,1772.24,18.089,0.02,1.183,0.037,99.0,99.0,0.733,0.021,1.423,0.025,154.33917270147438,-58.66600422670619
846,1667.56,581.414,18.089,0.022,1.101,0.049,99.0,99.0,0.599,0.026,1.177,0.03,154.22230612793513,-58.76500814995245
847,273.602,1844.7,18.092,0.022,1.09,0.043,99.0,99.0,0.67,0.025,1.271,0.029,154.44175512100006,-58.65942388217533
848,576.681,375.146,18.093,0.021,1.091,0.041,99.0,99.0,0.666,0.023,1.299,0.029,154.39634102424966,-58.78110896320237
849,309.478,160.668,18.094,0.023,1.041,0.037,99.0,99.0,0.594,0.025,1.187,0.04,154.43914323416013,-58.79856317492013
850,175.008,1551.98,18.096,0.021,0.958,0.036,99.0,99.0,0.618,0.024,1.185,0.028,154.45801100392956,-58.683491342470035
851,75.135,746.978,18.1,0.021,1.135,0.05,99.0,99.0,0.656,0.024,1.324,0.029,154.47544353069952,-58.749868125801854
852,428.254,184.554,18.101,0.026,1.08,0.039,99.0,99.0,0.633,0.028,1.287,0.032,154.42021279387018,-58.7967123404955
853,1416.13,210.519,18.104,0.02,1.24,0.039,99.0,99.0,0.72,0.022,1.343,0.026,154.2627455907361,-58.79547919239047
854,1455.02,1554.49,18.106,0.022,1.12,0.042,99.0,99.0,0.697,0.024,1.267,0.031,154.25498007754285,-58.68442040268064
855,1114.5,1803.29,18.107,0.022,1.23,0.039,99.0,99.0,0.77,0.024,1.567,0.026,154.3086323008481,-58.663600585202396
936,906.484,1601.51,18.302,0.026,1.148,0.053,99.0,99.0,0.695,0.028,1.383,0.036,154.34199921081526,-58.6800909043054
857,78.387,989.701,18.115,0.025,1.355,0.054,99.0,99.0,0.911,0.027,1.807,0.031,154.4744741806326,-58.7298228045376
858,549.903,410.414,18.116,0.024,1.143,0.048,99.0,99.0,0.644,0.026,1.267,0.032,154.40055313123537,-58.77816762381368
859,870.187,1580.55,18.118,0.022,1.044,0.036,99.0,99.0,0.611,0.025,1.155,0.03,154.34779538741768,-58.68179042831363
860,1018.47,1003.55,18.119,0.024,2.497,0.099,99.0,99.0,1.466,0.025,2.883,0.026,154.32519425067503,-58.729587266834145
861,266.718,1484.1,18.119,0.02,0.941,0.039,99.0,99.0,0.521,0.025,1.064,0.031,154.44363538749036,-58.68918876084883
1312,1941.47,816.738,19.592,0.078,1.463,0.21,99.0,99.0,0.835,0.082,1.752,0.096,154.1783966694099,-58.74574843416464
864,1923.64,408.619,18.127,0.021,1.142,0.047,99.0,99.0,0.755,0.025,1.375,0.032,154.1815563406773,-58.77948532428339
865,1518.2,1756.57,18.127,0.029,1.074,0.043,99.0,99.0,0.615,0.031,1.187,0.037,154.24462691013917,-58.66777270069168
866,987.012,1235.57,18.133,0.026,1.036,0.039,99.0,99.0,0.638,0.03,1.295,0.037,154.32984106023528,-58.710389278689966
867,746.169,644.778,18.135,0.023,1.138,0.042,99.0,99.0,0.649,0.027,1.243,0.03,154.3690087214433,-58.75898850703214
868,1170.31,1954.07,18.149,0.021,1.01,0.041,99.0,99.0,0.656,0.024,1.28,0.028,154.29950106483435,-58.651193130182044
869,1104.4,1403.03,18.15,0.021,0.954,0.039,99.0,99.0,0.552,0.025,1.109,0.031,154.31092525235908,-58.69665437859266
870,682.937,1470.56,18.151,0.024,0.934,0.04,99.0,99.0,0.535,0.027,1.063,0.034,154.37769877831883,-58.690706754099125
871,1158.16,679.723,18.158,0.024,1.515,0.054,99.0,99.0,0.944,0.027,1.942,0.028,154.30339696667795,-58.75647045989385
872,439.765,1297.29,18.163,0.021,1.009,0.04,99.0,99.0,0.606,0.024,1.124,0.031,154.4165873792376,-58.70478693621945
873,1834.4,1794.1,18.171,0.02,1.013,0.039,99.0,99.0,0.695,0.025,1.393,0.028,154.19431725411587,-58.66489407769264
875,1801.04,47.921,18.174,0.023,1.072,0.046,99.0,99.0,0.624,0.026,1.22,0.034,154.20136662932828,-58.80923054408551
876,1670.83,1495.27,18.175,0.021,0.891,0.041,99.0,99.0,0.575,0.024,1.03,0.034,154.22075179851558,-58.689472351513366
877,611.503,1639.94,18.176,0.022,1.898,0.064,99.0,99.0,1.103,0.023,2.182,0.025,154.38869478356762,-58.676652754796336
879,185.91,1929.6,18.177,0.048,1.24,0.072,99.0,99.0,0.731,0.064,0.951,0.2,154.45542535178683,-58.65232857119822
880,1003.94,1276.85,18.181,0.022,0.954,0.037,99.0,99.0,0.664,0.026,1.245,0.03,154.32708597769312,-58.70699347714755
881,1584.16,1758.85,18.181,0.019,0.976,0.038,99.0,99.0,0.556,0.023,1.112,0.029,154.23414402532438,-58.66763238644145
882,1204.36,1424.28,18.185,0.021,1.023,0.038,99.0,99.0,0.537,0.025,1.092,0.035,154.29501217000026,-58.69498122825321
883,988.084,1456.76,18.186,0.025,1.175,0.041,99.0,99.0,0.748,0.026,1.498,0.032,154.3293059401021,-58.69211741458971
884,1658.52,1761.24,18.193,0.022,1.114,0.043,99.0,99.0,0.743,0.024,1.501,0.027,154.22232400381137,-58.6674880213295
885,1228.17,883.481,18.195,0.026,1.088,0.052,99.0,99.0,0.591,0.033,1.176,0.039,154.29199819423715,-58.73968833267226
886,302.24,1750.3,18.196,0.021,0.922,0.04,99.0,99.0,0.549,0.025,1.088,0.035,154.43743674044646,-58.667245250566204
887,757.917,631.899,18.199,0.022,1.352,0.057,99.0,99.0,0.814,0.025,1.479,0.028,154.3671580772502,-58.7600639032674
888,1703.56,1821.21,18.203,0.019,0.976,0.038,99.0,99.0,0.656,0.022,1.28,0.026,154.21507469226623,-58.66256511049862
889,1216.72,1583.69,18.205,0.025,1.126,0.042,99.0,99.0,0.676,0.026,1.36,0.032,154.29279107582246,-58.68182208293821
890,1278.47,1351.04,18.206,0.021,2.19,0.082,99.0,99.0,1.223,0.023,2.363,0.023,154.28334800050322,-58.70109217147731
891,1654.28,643.172,18.206,0.022,1.161,0.052,99.0,99.0,0.651,0.025,1.238,0.029,154.22436853650893,-58.75989176886723
892,798.179,1920.79,18.213,0.024,1.145,0.046,99.0,99.0,0.718,0.026,1.428,0.029,154.35854826206102,-58.653630004322345
893,1601.99,1262.67,18.214,0.021,0.963,0.039,99.0,99.0,0.62,0.026,1.251,0.03,154.23201437990397,-58.708643773500484
894,211.072,1425.45,18.214,0.021,1.003,0.038,99.0,99.0,0.607,0.024,1.185,0.03,154.45257141526176,-58.693975439186396
895,918.051,198.181,18.214,0.023,1.136,0.046,99.0,99.0,0.613,0.028,1.186,0.034,154.34219598181977,-58.79606387485552
896,1653.22,232.212,18.218,0.024,1.709,0.071,99.0,99.0,0.974,0.027,1.991,0.028,154.22487411687456,-58.793874470020185
897,582.956,1672.05,18.218,0.024,0.916,0.037,99.0,99.0,0.563,0.027,1.067,0.036,154.39315328166046,-58.673974741546495
898,650.737,939.504,18.22,0.022,1.224,0.047,99.0,99.0,0.667,0.026,1.235,0.03,154.38373425606775,-58.73454487705867
900,253.584,1829.85,18.222,0.032,1.005,0.047,99.0,99.0,0.677,0.044,1.324,0.062,154.44495574963653,-58.66062998669735
901,718.124,1041.89,18.228,0.022,0.985,0.039,99.0,99.0,0.629,0.024,1.206,0.03,154.37286484071666,-58.726149142466326
902,610.401,1817.42,18.236,0.023,0.849,0.037,99.0,99.0,0.532,0.026,1.024,0.034,154.38850560981825,-58.661996737196205
903,1276.66,1457.15,18.237,0.022,1.204,0.049,99.0,99.0,0.762,0.025,1.517,0.03,154.2834733402879,-58.692323862781954
904,1931.96,149.128,18.237,0.027,1.071,0.045,99.0,99.0,0.617,0.03,1.266,0.038,154.180379979634,-58.80095484706642
905,53.283,1491.68,18.252,0.021,1.316,0.05,99.0,99.0,0.763,0.023,1.599,0.029,154.47741012411487,-58.6883442201673
906,1262.4,613.073,18.253,0.023,1.269,0.057,99.0,99.0,0.696,0.029,1.355,0.034,154.28687079532068,-58.762068075498895
907,124.345,218.136,18.257,0.026,1.125,0.058,99.0,99.0,0.656,0.029,1.366,0.034,154.4685014689748,-58.79361576264338
