ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
147,852.195,1412.63,14.747,0.006,0.306,0.008,0.168,0.009,0.243,0.01,0.449,0.012,156.01043100499268,-60.12918168909412
148,149.957,688.53,14.752,0.009,1.102,0.012,0.577,0.021,0.698,0.013,1.276,0.022,156.12801735024593,-60.188397093689346
149,480.13,706.643,14.759,0.01,1.332,0.013,1.116,0.034,0.797,0.013,1.47,0.017,156.07327113646227,-60.187136352684355
150,102.566,1884.43,14.766,0.016,1.399,0.022,1.242,0.046,0.803,0.022,1.524,0.025,156.13348664822664,-60.089406390178496
151,1400.96,1579.21,14.77,0.008,1.336,0.01,1.017,0.032,0.807,0.01,1.47,0.014,155.91928580155758,-60.116019176606066
152,603.892,1159.0,14.772,0.005,0.575,0.006,-0.044,0.007,0.405,0.007,0.734,0.011,156.051966885095,-60.149901049155694
153,1180.41,1645.38,14.773,0.009,0.361,0.012,-0.153,0.01,0.3,0.012,0.559,0.017,155.95573360662812,-60.11029975959187
154,709.46,52.199,14.789,0.013,0.569,0.018,-0.105,0.015,0.408,0.017,0.789,0.02,156.03634690319376,-60.24118911501676
155,1660.42,403.459,14.799,0.013,0.484,0.017,0.033,0.012,0.353,0.017,0.651,0.02,155.87765006729367,-60.213109335109706
156,1915.58,17.324,14.802,0.015,0.604,0.021,0.043,0.017,0.422,0.019,0.859,0.022,155.835566420225,-60.24503073963141
157,942.757,1030.98,14.804,0.003,0.355,0.005,-0.085,0.008,0.297,0.005,0.566,0.006,155.99602537513633,-60.160775984283916
158,1209.59,865.322,14.806,0.01,0.441,0.013,0.04,0.012,0.342,0.015,0.656,0.016,155.95199843863065,-60.17468468882368
159,1194.08,1274.37,14.816,0.003,0.363,0.005,0.248,0.01,0.275,0.006,0.497,0.007,155.9539931168833,-60.14094816596435
160,670.03,1581.14,14.816,0.01,0.51,0.012,-0.107,0.01,0.371,0.012,0.679,0.016,156.04030089955572,-60.1150692353638
161,1012.09,1718.71,14.819,0.009,0.347,0.013,0.212,0.011,0.306,0.012,0.544,0.017,155.98349057264141,-60.10404995194916
162,1438.78,1013.22,14.829,0.004,0.399,0.006,0.239,0.01,0.295,0.007,0.547,0.007,155.9137446072928,-60.16273481426305
163,383.789,258.924,14.833,0.014,0.682,0.018,-0.003,0.016,0.42,0.018,0.795,0.02,156.0900722577133,-60.223968471810714
164,241.238,1669.99,14.836,0.011,0.356,0.015,0.133,0.013,0.258,0.014,0.507,0.021,156.11101239657765,-60.10730817514548
165,170.632,1797.51,14.846,0.013,0.273,0.018,0.179,0.015,0.207,0.019,0.388,0.024,156.1224245983997,-60.09667621521464
166,291.262,1618.79,14.865,0.01,0.725,0.013,0.081,0.012,0.477,0.014,0.882,0.019,156.10284624988705,-60.111594250455575
167,833.268,1357.79,14.866,0.006,0.647,0.008,-0.061,0.009,0.455,0.008,0.816,0.01,156.01365259213122,-60.1336937629026
168,931.36,1003.13,14.87,0.004,0.385,0.006,-0.228,0.006,0.313,0.007,0.594,0.007,155.99795853969937,-60.163062363685995
169,1096.39,1752.3,14.879,0.011,0.575,0.014,0.157,0.012,0.433,0.013,0.769,0.018,155.96948979918272,-60.10136693104459
170,1577.33,1279.95,14.882,0.004,0.595,0.006,-0.109,0.009,0.412,0.007,0.76,0.008,155.8904102011731,-60.14091054067823
171,1734.54,1269.68,14.901,0.005,0.298,0.008,0.137,0.01,0.244,0.008,0.45,0.008,155.86432396604698,-60.14194068925883
172,1337.26,1191.52,14.904,0.003,0.379,0.005,-0.075,0.008,0.326,0.006,0.609,0.007,155.93036019398008,-60.147933522852355
173,1647.9,395.877,14.91,0.013,0.506,0.017,-0.097,0.013,0.363,0.017,0.675,0.019,155.8797432924462,-60.213719731748434
174,1274.9,1511.47,14.912,0.007,0.758,0.009,0.115,0.01,0.502,0.01,0.884,0.013,155.94026703263455,-60.12146708273196
175,1207.22,1667.56,14.913,0.009,0.798,0.012,0.257,0.012,0.539,0.012,0.973,0.017,155.95126271704538,-60.10849751805567
176,1273.68,1175.9,14.914,0.003,0.415,0.005,-0.009,0.008,0.344,0.007,0.643,0.008,155.940929220481,-60.14915390023952
177,505.101,633.683,14.93,0.01,0.457,0.013,0.108,0.012,0.328,0.014,0.532,0.025,156.06926202292178,-60.193171452011214
178,1447.76,972.249,14.935,0.009,0.5,0.012,0.059,0.013,0.367,0.014,0.663,0.015,155.91230617598387,-60.166118626829075
