radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
186.003961,0.175,-61.989568,0.197,15.727,0.026,2,17.126,0.042,2,NA,NA,0,16.437,0.03,4,15.168,0.038,4,14.568,0.039,4,NA,NA,0,NA,NA,0
186.004009,0.146,-61.949329,0.25,12.379,0.021,4,12.675,0.023,4,NA,NA,0,12.47,0.029,4,12.359,0.021,4,12.341,0.052,4,12.355,0.077,2,NA,NA,0
186.004041,0.292,-61.599254,0.18,16.107,0.094,1,17.163,0.146,1,NA,NA,0,16.64,0.023,3,15.904,0.114,3,15.578,0.09,3,NA,NA,0,NA,NA,0
186.004065,0.214,-62.277314,0.143,NA,NA,0,NA,NA,0,NA,NA,0,17.294,0.095,3,16.368,0.005,3,NA,NA,0,NA,NA,0,NA,NA,0
186.004713,0.256,-62.342596,0.202,16.69,0.144,1,17.419,0.173,1,NA,NA,0,17.143,0.131,1,16.358,0.145,1,15.876,0.217,1,NA,NA,0,NA,NA,0
186.0048,0.128,-61.400488,0.21,NA,NA,0,NA,NA,0,NA,NA,0,17.047,0.063,3,15.448,0.048,3,14.703,0.079,3,NA,NA,0,NA,NA,0
186.004863,0.281,-61.922011,0.259,15.851,0.017,2,16.946,0.033,2,NA,NA,0,16.276,0.02,2,15.514,0.067,1,15.164,0.1,2,NA,NA,0,NA,NA,0
186.004865,0.175,-62.218051,0.116,10.679,0.055,6,11.917,0.017,4,NA,NA,0,11.315,0.105,4,10.293,0.066,5,9.833,0.002,2,9.606,0.027,2,NA,NA,0
186.004904,0.263,-61.46412,0.581,14.327,0.059,4,14.863,0.015,4,NA,NA,0,14.574,0.019,4,14.233,0.026,4,14.101,0.037,4,NA,NA,0,NA,NA,0
186.004914,0.229,-61.47216,0.172,16.497,0.06,2,17.613,0.302,2,NA,NA,0,16.964,0.15,3,16,0.035,3,15.631,0.018,2,NA,NA,0,NA,NA,0
186.004995,0.177,-61.771523,0.13,13.634,0.039,4,14.973,0.04,4,NA,NA,0,14.272,0.027,4,13.204,0.029,4,12.741,0.039,4,12.502,0.159,2,NA,NA,0
186.005167,0.613,-61.395955,0.515,NA,NA,0,NA,NA,0,NA,NA,0,17.61,0.144,1,16.166,0.107,1,15.276,0.114,1,NA,NA,0,NA,NA,0
186.005202,0.221,-62.301106,0.089,NA,NA,0,NA,NA,0,NA,NA,0,17.677,0.174,1,16.562,0.138,1,15.764,0.193,1,NA,NA,0,NA,NA,0
186.005328,0.447,-61.467228,0.237,15.177,0.036,3,15.958,0.052,3,NA,NA,0,15.568,0.047,4,14.921,0.022,4,14.654,0.068,4,NA,NA,0,NA,NA,0
