ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1097,1760.14,378.801,18.802,0.034,1.266,0.072,99,99,0.732,0.04,1.418,0.043
1098,908.106,1437.8,18.803,0.033,1.352,0.063,99,99,0.869,0.038,1.677,0.048
1099,410.546,1114.83,18.803,0.031,1.162,0.059,99,99,0.81,0.036,1.569,0.043
1100,1631.07,1251.67,18.804,0.03,1.323,0.062,99,99,0.831,0.035,1.607,0.039
1101,879.002,1217.81,18.809,0.028,1.304,0.07,99,99,0.852,0.033,1.536,0.039
1102,430.56,720.502,18.812,0.032,1.448,0.071,99,99,0.912,0.036,1.831,0.042
1103,324.502,175.295,18.814,0.027,1.422,0.067,99,99,0.907,0.035,1.776,0.039
1104,145.144,75.048,18.819,0.038,1.216,0.067,99,99,0.757,0.047,1.544,0.053
1105,167.663,1084.55,18.82,0.03,1.323,0.064,99,99,0.82,0.036,1.604,0.04
1106,955.095,147.746,18.82,0.031,1.209,0.066,99,99,0.691,0.039,1.353,0.043
1107,2010.94,472.266,18.822,0.037,1.263,0.093,99,99,1.012,0.042,2.113,0.045
1108,1065.39,1748.71,18.826,0.026,1.328,0.064,99,99,0.86,0.033,1.69,0.037
1109,1497.74,825.388,18.827,0.034,1.138,0.06,99,99,0.717,0.042,1.452,0.055
1110,1094.96,1511.71,18.833,0.039,1.225,0.056,99,99,0.994,0.08,1.473,0.048
1111,1896.72,687.439,18.833,0.042,1.245,0.067,99,99,0.685,0.049,1.348,0.055
1112,802.532,1084.55,18.839,0.031,1.382,0.071,99,99,0.994,0.035,1.96,0.037
1113,270.284,915.166,18.839,0.027,1.336,0.082,99,99,0.866,0.034,1.702,0.037
1114,323.666,1599.66,18.844,0.034,1.314,0.056,99,99,0.861,0.04,1.588,0.045
1115,846.088,63.269,18.844,0.027,1.228,0.064,99,99,0.763,0.037,1.546,0.046
1116,1023.54,1109.15,18.846,0.036,1.318,0.062,99,99,0.862,0.04,1.637,0.046
1117,1282.96,1126.78,18.849,0.033,1.168,0.06,99,99,0.862,0.037,1.6,0.041
1118,795.391,949.657,18.849,0.038,1.086,0.062,99,99,0.789,0.043,1.467,0.05
1119,1130.81,1511.27,18.85,0.03,1.555,0.071,99,99,1.058,0.033,2.013,0.038
1120,1830.89,1684.19,18.853,0.032,1.234,0.062,99,99,0.968,0.036,1.73,0.042
1121,1701.37,1037.35,18.853,0.032,1.181,0.06,99,99,0.738,0.037,1.41,0.047
1122,546.952,796.61,18.855,0.043,1.389,0.081,99,99,0.808,0.051,1.57,0.059
1123,186.933,133.406,18.855,0.035,1.288,0.073,99,99,0.635,0.047,1.36,0.051
1124,1193.9,1378.91,18.857,0.032,1.254,0.06,99,99,0.852,0.037,1.531,0.043
1125,858.639,973.899,18.86,0.032,1.367,0.079,99,99,0.887,0.038,1.621,0.044
1126,1814.98,1435.57,18.861,0.027,1.016,0.053,99,99,0.728,0.034,1.353,0.046
1128,1532.73,667.819,18.863,0.032,1.588,0.088,99,99,0.843,0.041,1.699,0.042
1129,600.317,1418.97,18.864,0.033,1.489,0.075,99,99,0.919,0.037,1.753,0.042
1130,1282.07,758.774,18.865,0.036,1.257,0.063,99,99,0.808,0.042,1.457,0.046
1131,10.281,696.745,18.866,0.042,1.108,0.061,99,99,0.726,0.05,1.565,0.051
1132,1868.52,740.122,18.869,0.036,1.201,0.078,99,99,0.788,0.042,1.456,0.051
1133,1717.18,686.395,18.87,0.035,1.501,0.082,99,99,0.987,0.045,1.866,0.05
1134,984.755,817.869,18.87,0.03,1.143,0.057,99,99,0.705,0.036,1.388,0.043
1135,1414.8,1406.04,18.871,0.033,1.452,0.071,99,99,0.876,0.039,1.644,0.041
1136,1847.74,1116.31,18.875,0.031,1.152,0.067,99,99,0.687,0.036,1.248,0.047
1137,55.309,1402.38,18.88,0.03,1.24,0.061,99,99,0.806,0.036,1.642,0.042
1138,1183.88,1507.54,18.881,0.032,1.26,0.069,99,99,0.817,0.036,1.482,0.044
1139,1282.28,1846.09,18.881,0.036,1.245,0.064,99,99,0.696,0.04,1.294,0.049
1140,57.416,1496.23,18.884,0.032,1.308,0.08,99,99,0.775,0.039,99,99
1141,1594,241.316,18.888,0.03,1.413,0.081,99,99,0.79,0.038,1.55,0.04
1142,771.757,855.779,18.888,0.045,1.266,0.072,99,99,0.791,0.052,1.467,0.059
1143,127.244,557.651,18.903,0.044,1.051,0.071,99,99,0.779,0.049,1.521,0.059
1145,1736.43,959.983,18.906,0.044,1.15,0.086,99,99,0.724,0.054,1.334,0.057
1146,563.398,72.921,18.907,0.04,1.316,0.076,99,99,0.754,0.049,99,99
1147,637.208,2000.17,18.908,0.034,1.263,0.063,99,99,0.75,0.038,1.5,0.049
1148,1688.95,728.717,18.911,0.031,1.336,0.067,99,99,0.867,0.038,1.68,0.041
1149,344.138,493.339,18.915,0.035,1.651,0.085,99,99,0.99,0.041,1.911,0.046
1150,87.476,1197.49,18.915,0.034,1.339,0.068,99,99,0.802,0.04,1.496,0.047
1151,1938.26,1885.61,18.918,0.038,0.796,0.068,99,99,0.849,0.044,1.551,0.053
1152,557.878,596.045,18.918,0.038,1.331,0.07,99,99,0.868,0.045,1.545,0.047
1153,207.439,399.374,18.918,0.034,1.24,0.062,99,99,0.784,0.041,1.534,0.049
1154,1966.42,1184.87,18.928,0.035,1.162,0.067,99,99,0.807,0.042,1.463,0.05
1155,1795.54,590.732,18.93,0.036,1.46,0.076,99,99,0.895,0.044,1.736,0.048
1157,359.541,655.098,18.94,0.039,1.385,0.084,99,99,0.915,0.045,1.699,0.051
1158,1193.99,1763.14,18.941,0.035,1.443,0.077,99,99,0.978,0.04,1.701,0.044
1159,1044.18,1289.25,18.941,0.034,1.251,0.058,99,99,0.721,0.041,1.396,0.044
1160,680.877,1517.42,18.943,0.037,1.332,0.078,99,99,0.783,0.043,1.522,0.05
1161,1687.86,411.417,18.944,0.034,1.376,0.076,99,99,0.813,0.04,1.515,0.047
1162,1778.1,1746.95,18.948,0.036,1.167,0.06,99,99,0.644,0.044,1.33,0.048
1163,804.805,1510.04,18.952,0.038,1.769,0.09,99,99,1.174,0.042,2.252,0.044
1164,1682.6,1029.62,18.954,0.035,1.034,0.054,99,99,0.75,0.041,1.305,0.052
