ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
1764,2475.84,1463.2,16.4881,0.0014,0.986,0.811,0.116,0.004,0.003,0.013,0.3802,-5.911,0.876,0.0538,0.1,0.088,0.349,1
64,2626.0,1831.68,12.4662,0.0002,0.95,0.887,0.482,0.003,0.002,0.003,1.8809,0.925,7.551,0.0282,0.048,0.047,0.344,1
628,2953.53,2009.04,14.9952,0.0004,1.078,1.025,0.671,0.002,0.002,0.004,0.5934,-1.395,-1.831,0.0286,0.05,0.063,0.343,1
4575,2603.85,1996.84,18.2962,0.0021,1.303,1.056,0.453,0.006,0.008,0.027,0.5407,-7.454,0.578,0.1556,0.323,0.247,0.34,1
3500,2116.28,1991.81,17.7306,0.0012,1.097,1.007,0.591,0.006,0.006,0.019,0.5328,-9.669,2.362,0.1129,0.175,0.163,0.335,1
3612,2680.51,1278.85,17.7911,0.0014,1.111,0.88,0.066,0.007,0.006,0.028,0.6929,-6.911,11.523,0.1126,0.187,0.168,0.316,1
726,2724.85,1623.9,15.2703,0.0004,0.849,0.704,0.119,0.003,0.002,0.004,0.5921,-11.669,-0.056,0.0275,0.046,0.046,0.315,1
242,2146.45,1781.64,13.6786,0.0002,1.201,1.124,0.813,0.003,0.003,0.003,0.8652,6.638,1.9,0.0189,0.03,0.032,0.304,1
215,2845.57,1545.64,13.7126,0.0002,0.719,0.585,0.138,0.004,0.002,0.003,0.5865,-15.088,-2.681,0.0187,0.031,0.032,0.292,1
973,2739.85,1165.83,16.5828,0.0016,2.466,1.495,0.431,0.012,0.01,0.016,0.2756,-8.65,-0.565,0.1273,0.293,0.441,0.272,1
4227,2046.52,1828.07,18.0424,0.0018,1.384,1.08,0.436,0.006,0.007,0.026,0.1402,0.45,-4.445,0.1327,0.246,0.192,0.271,1
121,2175.73,2095.47,13.1473,0.0004,0.829,0.65,0.11,0.009,0.006,0.004,1.159,-6.697,-0.266,0.0181,0.029,0.029,0.268,1
286,2729.48,2188.34,13.6612,0.0005,1.609,1.479,1.269,0.007,0.003,0.004,0.3388,-4.943,0.828,0.0217,0.044,0.035,0.262,1
97,2725.3,2197.81,11.5818,0.0013,3.003,1.994,2.103,0.008,0.003,0.005,0.2607,-10.1,-0.346,0.0502,0.092,0.085,0.254,1
359,2278.15,1487.6,14.3879,0.0003,0.832,0.659,0.082,0.003,0.002,0.004,0.4734,-9.253,-0.303,0.024,0.039,0.038,0.227,1
551,2965.31,2082.69,14.6402,0.0003,1.472,1.414,1.359,0.002,0.002,0.006,0.3141,-6.995,0.125,0.0298,0.045,0.051,0.227,1
746,2731.15,1559.84,14.9846,0.0004,1.527,1.276,1.117,0.003,0.003,0.007,2.391,16.438,-20.796,0.0278,0.047,0.051,0.199,1
4285,2794.4,1685.52,18.1429,0.0017,1.223,1.016,0.396,0.008,0.01,0.024,0.3765,-6.647,-4.501,0.1245,0.221,0.217,0.185,1
1558,2936.54,1996.97,16.219,0.0007,1.123,1.039,0.676,0.003,0.003,0.009,0.8102,-20.903,-1.686,0.0475,0.085,0.097,0.179,1
3943,2424.74,1686.73,17.8357,0.0014,1.489,1.145,0.499,0.005,0.006,0.03,0.2194,-4.715,0.73,0.1081,0.183,0.172,0.145,1
205,2458.59,1650.27,13.576,0.0049,1.338,1.179,0.969,0.016,0.008,0.007,5.4719,2.492,-10.845,0.3584,0.588,0.534,0.109,1
3211,2280.47,1259.02,17.5376,0.001,1.094,0.894,0.178,0.005,0.005,0.029,0.513,-4.474,0.119,0.0917,0.146,0.145,0.059,1
4185,2883.62,1814.14,18.1096,0.0017,1.234,1.013,0.373,0.01,0.009,0.02,0.4835,-0.316,1.242,0.1361,0.234,0.215,0.058,1
210,2531.94,1986.02,13.5057,0.0002,1.193,1.1,0.652,0.004,0.003,0.003,0.4683,-5.064,-1.121,0.0185,0.035,0.03,0.046,1
1147,2747.46,2096.26,15.3048,0.0004,1.959,1.701,1.447,0.003,0.003,0.016,0.3062,-5.414,-0.695,0.0326,0.054,0.052,0.028,1
2479,2311.91,1919.12,16.9689,0.0009,1.104,1.025,0.637,0.004,0.004,0.011,0.365,-6.795,1.86,0.0744,0.132,0.118,0.719,0
332,2047.65,1789.26,13.5213,0.0003,2.142,1.927,2.054,0.003,0.003,0.012,0.1646,-6.231,0.781,0.0272,0.041,0.04,0.647,0
152,2964.24,1814.05,13.3739,0.0002,0.631,0.579,0.264,0.003,0.002,0.003,0.4882,-11.839,1.212,0.0182,0.031,0.041,0.636,0
243,2367.81,1693.55,13.9987,0.0003,0.283,0.274,0.111,0.003,0.002,0.003,0.4333,-7.207,1.014,0.0206,0.035,0.034,0.632,0
